"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-508-5p",33.3819697260775,5.76826559711604,0.981452146811538,5.87727645800716,4.17071357282197e-09,4.53871771160038e-08
"hsa-miR-377-5p",66.7044597618687,1.12221800131432,0.393163023237466,2.85433251599684,0.00431273651136115,0.0142893149267112
"hsa-miR-485-3p",203.051077075953,1.49696027111201,0.274774925650096,5.44795078215497,5.09534524779335e-08,4.62077877863612e-07
"hsa-miR-20b-5p",230.279782790104,-2.46592536753074,0.398077451789288,-6.19458689872244,5.84380931793529e-10,7.40482687546595e-09
"hsa-miR-3154",3.93515581287425,1.593675591497,0.64363308565724,2.47606225815697,0.0132840411451862,0.0375771806094716
"hsa-miR-509-5p",30.9863554628865,4.12765885864989,0.82435732407497,5.00712341372309,5.52495046299611e-07,4.08846334261712e-06
"hsa-miR-363-3p",659.179389769089,-1.81054451426257,0.359385317064001,-5.03789227966746,4.70686198953017e-07,3.51116720993178e-06
"hsa-miR-216b-3p",0.681583252654465,3.12599605242751,1.25970493881615,2.48153036167762,0.0130819565064688,0.0372332608261036
"hsa-miR-34b-3p",134.483529553266,-4.14177906946644,0.441422231365516,-9.38280579266266,6.42400301819948e-21,3.12747515359712e-19
"hsa-miR-491-5p",15.1045406207851,1.05762768548426,0.370344626302479,2.85579325409312,0.00429294576690436,0.0142840821380811
"hsa-miR-372-3p",7.82260761992176,-1.45876296464903,0.601076294925079,-2.42691814161604,0.0152276912574895,0.0424265494372824
"hsa-miR-376b-5p",17.9228687718154,1.6656634086982,0.440822551337079,3.77853493122347,0.000157753726578875,0.000752176273636387
"hsa-miR-1224-5p",1.89305240475598,-2.92350640956716,1.04699109180826,-2.79229348983091,0.00523358625165576,0.0164103975687511
"hsa-miR-874-3p",1024.82892495036,1.97971698759407,0.319726476553926,6.19190818643437,5.94401745301012e-10,7.43002181626265e-09
"hsa-miR-4670-3p",4.976865227706,1.39470469099002,0.503493971334809,2.77005241451556,0.00560472725616713,0.0174168624645683
"hsa-miR-539-5p",21.7241124534754,1.8060768907341,0.327524702019337,5.51432267428632,3.5012571624449e-08,3.40911881606477e-07
"hsa-miR-653-3p",6.18761852018788,2.20461894549237,0.589120842839571,3.74221854868702,0.000182402773095836,0.000847852085998232
"hsa-miR-493-5p",1538.09212591614,1.51686180276757,0.256800475624689,5.90677178100111,3.48876524160954e-09,3.84179505772479e-08
"hsa-miR-514b-5p",7.0859635823848,6.47035876185787,1.80238353307444,3.5898900778465,0.000330817436201315,0.00144651251001687
"hsa-miR-203a-5p",5.59226013769085,-2.7482249697688,0.562129935821039,-4.88894967985432,1.01375402455746e-06,7.26916645516011e-06
"hsa-miR-29c-5p",86.1110221799468,1.24074266445615,0.174365863305756,7.11574296099731,1.11311572337412e-12,2.10128988596135e-11
"hsa-miR-34b-5p",1164.49713519122,-5.14852791359948,0.396680680654501,-12.979023594254,1.60918893978163e-38,2.48083294883002e-36
"hsa-miR-127-5p",829.643158455244,1.36282311712048,0.265896779682494,5.12538406349945,2.96931836907914e-07,2.30808360621698e-06
"hsa-miR-202-3p",26.0782315735408,5.9149963848297,0.742205180919384,7.96948948470378,1.59331185700608e-15,4.09392629925173e-14
"hsa-miR-676-3p",8.02301408568785,-1.60055316727744,0.4490534742363,-3.56428189315199,0.000364853686391888,0.00156245212922452
"hsa-miR-133b",15.9832823732982,3.31772184939229,0.488701299265969,6.78885416178658,1.13027623486394e-11,1.90091912227117e-10
"hsa-miR-889-3p",932.211860181752,1.02750419131647,0.269200397983641,3.81687471122873,0.000135152755549751,0.000651126556685
"hsa-miR-4777-3p",5.1374059300141,2.08606600151866,0.644927888669425,3.23457248192895,0.00121824994456028,0.00459951509680921
"hsa-miR-1243",4.25821496780958,2.78378330196095,0.618729448386911,4.49919315981896,6.82118577623889e-06,4.20639789534732e-05
"hsa-miR-556-5p",5.8998845125629,-2.30984304565028,0.541490881004687,-4.26570996239969,1.99267512983934e-05,0.000111710575460691
"hsa-miR-217",52.1375723918584,4.1659666222259,0.504217088331566,8.26224798530909,1.42954325011168e-16,4.00705304955546e-15
"hsa-miR-6715b-3p",2.93886583795388,-4.78282623378367,1.06067783010716,-4.50921674614473,6.50674059125299e-06,4.03941949456981e-05
"hsa-miR-675-3p",162.512904599431,-3.12799871565433,0.347871913110551,-8.9918116345894,2.43188240866253e-19,9.37288011672018e-18
"hsa-miR-184",9.90603062802578,-2.38180382856583,0.409839433638624,-5.81155358189857,6.18957153422771e-09,6.65738798739608e-08
"hsa-miR-200a-3p",5035.9662854027,-5.2944545072526,0.429968961330214,-12.3135737307012,7.65566416342099e-35,7.08148935116442e-33
