"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000101057",140.857960235091,-1.72113551514951,0.517264327816877,-3.32738103633318,0.000876664114589388,0.00326245608611797,"MYBL2"
"ENSG00000144843",341.81866978663,1.7212452356368,0.23144909378902,7.43681993935918,1.0313798065987e-13,2.25894762604384e-12,"ADPRH"
"ENSG00000174130",183.053623685183,1.60382703758031,0.366368680804634,4.37763139048328,1.19976035270635e-05,6.93909197056799e-05,"TLR6"
"ENSG00000224903",9.70572268589331,-1.54250552189789,0.353837787551484,-4.35935780791489,1.30444679444202e-05,7.48112204014283e-05,NA
"ENSG00000138316",219.257417691439,3.72285207839642,0.651946426214855,5.71036503721783,1.12734107227071e-08,1.17905180252893e-07,"ADAMTS14"
"ENSG00000138311",87.9140421558456,4.05723298644574,0.583019292308327,6.95900296949365,3.42689291731448e-12,6.12432095753058e-11,"ZNF365"
"ENSG00000224905",15.4418969939901,-1.6501446591083,0.37693665131579,-4.37777714994832,1.19895848426753e-05,6.93579106977667e-05,NA
"ENSG00000070915",19.8368243662661,-2.39338596355992,0.792142722253392,-3.02140750185964,0.00251602499594031,0.00819271253697069,"SLC12A3"
"ENSG00000185761",121.986203940475,-1.87487851050429,0.322066470714512,-5.82140235320003,5.83558959086687e-09,6.4022925507697e-08,"ADAMTSL5"
"ENSG00000139946",564.142401338445,1.26471745561895,0.254476581655062,4.96987757141931,6.69951901980271e-07,5.01811701717924e-06,"PELI2"
"ENSG00000180739",31.2795983319701,1.94868182799671,0.332214463265143,5.86573446816328,4.47148895853969e-09,4.98593451096031e-08,"S1PR5"
"ENSG00000180730",33.5449642816359,3.18847318864765,0.411076594745065,7.75639681121963,8.73763416397463e-15,2.219995349062e-13,"SHISA2"
"ENSG00000157445",95.4422371688274,1.55593659858114,0.311375372682914,4.99698028516085,5.82350194939825e-07,4.42155869164078e-06,"CACNA2D3"
"ENSG00000183421",307.574661070038,-4.23767759519026,0.642683671556338,-6.59372220384595,4.28933976574162e-11,6.52666982813605e-10,"RIPK4"
"ENSG00000136205",4426.05006849182,1.50293589563954,0.172550616144627,8.71011607620009,3.03563779607575e-18,1.17078853096464e-16,"TNS3"
