"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"232270_at",-1.18130786910663,6.20070857895015,-5.30626503756566,4.05283808425772e-07,6.39107619582466e-05,6.12106905243904,NA
"235646_at",-1.07763127469286,5.81023899640048,-5.29121290112502,4.34300651831568e-07,6.67932456071795e-05,6.05520279989278,NA
"236431_at",-1.05833941286045,5.26392566317577,-5.2733091052084,4.71457354464307e-07,6.84933706457044e-05,5.97702188346027,NA
"217878_s_at",-1.06360772502801,7.2919753298876,-5.26954608012525,4.79651957895174e-07,6.88319443514925e-05,5.96061249542301,"CDC27"
"222457_s_at",-1.15930963475613,8.90098540550041,-5.26104201006979,4.98685431026349e-07,7.11896238677954e-05,5.92355798490287,NA
"235722_at",-1.28298965237561,5.38383433172055,-5.25754222151272,5.06730468287617e-07,7.16581597427687e-05,5.90832020429448,NA
"233587_s_at",-1.27242126390783,5.810277397374,-5.24718556005705,5.31285279310298e-07,7.3168822786626e-05,5.86326833616884,NA
"242457_at",-1.31785044591114,4.9606786820037,-5.22806569455776,5.79697062348546e-07,7.83160070548387e-05,5.78025426033876,NA
"236155_at",-1.16834120006955,5.74474827885961,-5.22179222392739,5.96498048986801e-07,7.97307267951787e-05,5.75306108040534,NA
"208328_s_at",-1.22182553833104,6.24241726573471,-5.20475846477467,6.44543361689481e-07,8.31141705197462e-05,5.67933798937838,"MEF2A"
"222689_at",-1.00611612743641,5.66096660664477,-5.18397929436298,7.08271146214082e-07,8.86149311653431e-05,5.58962683752015,NA
"1553275_s_at",-1.24406123050503,4.80416571165417,-5.15580371835986,8.04559124761081e-07,9.55442358792881e-05,5.46837481468571,NA
"208859_s_at",-1.02862993064435,8.10907350003611,-5.14380720323962,8.49318643490307e-07,0.000100078656967312,5.41688605852806,"ATRX"
"211081_s_at",-1.31930086699658,4.12612908380803,-5.12116781392988,9.40478267819578e-07,0.000106681845006298,5.31994318730717,"MAP4K5"
"1555868_at",1.1376076743415,4.50199013936591,5.11767558547287,9.55361802557642e-07,0.000107478202787735,5.3050155476365,NA
"244765_at",1.03534214993277,7.02769349727575,5.11253202468726,9.77701091413733e-07,0.000108871297704778,5.28304203532986,NA
"208109_s_at",-1.05228108581959,5.03121341027972,-5.1085343264514,9.95413750703227e-07,0.000109464346097488,5.2659742362526,"LINC00597"
"229465_s_at",1.3296873453777,9.41624449717577,5.0749411229357,1.15710947770458e-06,0.00012096550801816,5.12291647197556,NA
"1556049_at",-1.21496340881694,4.93789179872895,-5.03634046508921,1.37451775030909e-06,0.000137313930892668,4.95934467699078,NA
"238267_s_at",1.05238116218703,4.80441857553707,5.01596154313081,1.50480611072654e-06,0.000143417783562248,4.87333996789234,NA
"1555247_a_at",-1.01895031027291,4.13799344912153,-5.01258320320435,1.527533307336e-06,0.000144610182017064,4.85910602587677,NA
"240499_at",-1.12160464811876,5.40559014883715,-4.99640224971079,1.64109139754345e-06,0.000150204128458243,4.7910241778649,NA
"231015_at",1.14374553866602,7.14414720914258,4.95831627315696,1.94168098665374e-06,0.000165360448512917,4.63138784584878,NA
"239102_s_at",-1.32856592212522,5.73461165392353,-4.94261998027229,2.08054403058084e-06,0.000172354158896981,4.56584824363937,NA
"232020_at",-1.04748372657699,3.82812966021142,-4.93622346144439,2.13985539227638e-06,0.000174882800557117,4.53918187496748,NA
"1554690_a_at",-1.15630873024806,5.06219456376598,-4.92680952104257,2.23013921186431e-06,0.000179313031483355,4.49998074078248,NA
"1569652_at",-1.0149310046871,5.44193538264271,-4.89900306253672,2.51892309893454e-06,0.000191813538209256,4.38450078604023,NA
"220494_s_at",1.30876214638891,5.81182873790038,4.87765787043414,2.76488905920889e-06,0.000201292023052258,4.296170432632,NA
"241893_at",-1.38124399198247,6.62785728143604,-4.87197560715728,2.83419582557509e-06,0.000203894285214892,4.27270260625511,NA
"1570507_at",-1.11731766470124,4.38320018372891,-4.86912622766532,2.86958080915008e-06,0.000205555913506019,4.26094199344954,NA
"227473_at",1.05281920739488,8.93635316218042,4.83395118418029,3.34326030503116e-06,0.000228205689360273,4.11616583095357,NA
"239809_at",-1.15723414796875,5.09950596220973,-4.82888534736657,3.4174338621277e-06,0.000232352742420187,4.09537757796296,NA
"214313_s_at",-1.39482962037562,4.06405069679497,-4.79367549710174,3.97883850528299e-06,0.000257143020421215,3.95132406589801,"EIF5B"
"214705_at",-1.05223098651026,5.15501871747644,-4.78277226246839,4.17010656490621e-06,0.00026480903186556,3.90687030148678,"PATJ"
"218401_s_at",-1.06227453791188,6.86601130140244,-4.77988180258799,4.22228618133429e-06,0.000267191547412561,3.89509784673235,"ZNF281"
"208370_s_at",-1.09036127212473,8.69414024411546,-4.75328951737143,4.73294554842069e-06,0.000285307384630541,3.78703332608702,"RCAN1"
"1555751_a_at",1.05612482235462,7.23559683987779,4.75110927997793,4.77736774529645e-06,0.000287035803817674,3.77819280219694,NA
"226444_at",-1.11951984670878,5.09292125137801,-4.7268673550527,5.29928314861214e-06,0.00031021231921881,3.68009459678488,NA
"221419_s_at",1.0355540372095,7.47363124603734,4.71735420107459,5.5188143971301e-06,0.000318025535117943,3.64169835625819,NA
"212938_at",1.03370826882188,4.92826740561756,4.71663815703828,5.53568953985187e-06,0.000318025535117943,3.63881060226761,"COL6A1"
"238228_at",1.06427922812531,5.13422157248735,4.70878140491746,5.72415949753491e-06,0.000322647856214146,3.60714593657157,NA
"223178_s_at",-1.02365770892414,5.58685983699826,-4.70798899834436,5.74350880808777e-06,0.000323072370454937,3.60395448411253,NA
"214040_s_at",1.05662151669889,5.70105682815454,4.66328028994764,6.943858217921e-06,0.000365404666087421,3.42452650437196,"GSN"
"1559391_s_at",-1.01051339387238,6.96307278650511,-4.64829499349912,7.39792633617859e-06,0.000382307771673501,3.36466828228821,NA
"221582_at",1.06178691461062,8.69848754809834,4.60656592309993,8.81864365377155e-06,0.000427067618928219,3.19873332542072,"H2AC25"
"235008_at",-1.27751183493354,4.78753567223452,-4.55879392111767,1.07689768953986e-05,0.000487008942726154,3.01013323022053,NA
"238040_at",1.16345451264329,6.08854615844147,4.55582243799655,1.09031430871614e-05,0.000491304345098137,2.99845044809593,NA
"242949_x_at",1.04140208934306,4.32986565309893,4.55436544543666,1.0969515769126e-05,0.000493222265359345,2.99272416537267,NA
"204623_at",1.58185708582204,5.96190951221243,4.54755799381518,1.12848247677029e-05,0.000502888955440426,2.96598759956159,"TFF3"
"210117_at",-1.0747124550394,6.04122603598274,-4.51625535768353,1.28507242500643e-05,0.000547633163189606,2.84343049452565,"SPAG1"
"230779_at",-1.12695830200201,6.36293743467321,-4.50670009516141,1.33690773475933e-05,0.000563573094818553,2.80614590999518,NA
"224956_at",-1.03158511601957,6.72617530433309,-4.49712050294282,1.3908947508894e-05,0.000578338902018228,2.76882596642096,NA
