"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","Significant"
"ILMN_1892601",-6.46314444444443,58.0964894736842,-2.4871492568793,0.0231445927270238,0.643713090996158,-3.88001628809527,"","Not Significant"
"ILMN_1670331",12.1743155555556,87.0178789473684,2.48673667707613,0.023164308448157,0.643713090996158,-3.88026141796883,"","Not Significant"
"ILMN_1902188",-5.60262111111108,53.0960631578947,-2.48650205500846,0.0231755272621332,0.643713090996158,-3.88040081398704,"","Not Significant"
"ILMN_1762312",179.961131111111,595.191173684211,2.48633889337881,0.0231833321046905,0.643713090996158,-3.88049775228293,"FOXRED1","Not Significant"
"ILMN_1763064",242.383441111111,427.779121052632,2.48617557256842,0.0231911470427621,0.643713090996158,-3.88059478438765,"ATAD2","Not Significant"
"ILMN_1730012",-8.27550777777775,53.8185473684211,-2.48520685004371,0.0232375517029696,0.643713090996158,-3.88117030573386,"","Not Significant"
"ILMN_1660965",21.8928255555556,81.2710842105263,2.48515538091942,0.0232400196723206,0.643713090996158,-3.88120088295989,"","Not Significant"
"ILMN_1808709",127.73431,999.039184210526,2.48501089906099,0.0232469489673271,0.643713090996158,-3.8812867175936,"ZDHHC6","Not Significant"
"ILMN_1798074",-8.74684333333332,82.8603315789474,-2.48499563695108,0.0232476810460163,0.643713090996158,-3.88129578456261,"C17orf77","Not Significant"
"ILMN_1806790",41.1550666666667,196.702094736842,2.48479597036879,0.02325726046863,0.643713090996158,-3.88141440258271,"ROBO1","Not Significant"
"ILMN_1753524",15.4180744444445,70.2527315789474,2.48479401376912,0.0232573543590027,0.643713090996158,-3.8814155649547,"HIST1H2AB","Not Significant"
"ILMN_1855641",-8.51407999999998,65.9763052631579,-2.48476935211891,0.0232585378159376,0.643713090996158,-3.88143021587855,"","Not Significant"
"ILMN_1702609",50.1584833333334,153.692768421053,2.4846870447812,0.0232624879701318,0.643713090996158,-3.88147911266323,"B3GNT5","Not Significant"
"ILMN_1823229",-4.95132777777777,56.1894157894737,-2.48462866406379,0.0232652902036772,0.643713090996158,-3.88151379510686,"","Not Significant"
"ILMN_1716265",-145.230024444444,395.023889473684,-2.48437867364014,0.0232772931671473,0.643713090996158,-3.88166230670598,"PGM2L1","Not Significant"
"ILMN_1801331",-576.683113333332,2000.66800526316,-2.4842573641424,0.0232831197870459,0.643713090996158,-3.88173437228475,"DUSP22","Not Significant"
"ILMN_1747344",-56.4214155555555,158.478473684211,-2.48419998851097,0.0232858760763819,0.643713090996158,-3.88176845692079,"IL3RA","Not Significant"
"ILMN_1776195",-4.63354888888886,49.6538789473684,-2.48316614677788,0.023335593905399,0.643713090996158,-3.88238260580645,"TMSB4Y","Not Significant"
"ILMN_1656424",50.8799211111112,163.571494736842,2.48311727100005,0.0233379468341768,0.643713090996158,-3.88241163946637,"SNRPE","Not Significant"
"ILMN_1657728",39.1096244444446,170.265468421053,2.48264999406365,0.0233604533016435,0.643713090996158,-3.88268921229471,"","Not Significant"
"ILMN_1783336",17.4205755555556,85.5162684210526,2.48263476130733,0.0233611873338841,0.643713090996158,-3.88269826078146,"NPFFR1","Not Significant"
"ILMN_1848693",-7.59863666666665,70.3086842105263,-2.4825781561223,0.0233639152007912,0.643713090996158,-3.88273188505481,"","Not Significant"
"ILMN_1871152",-10.1703277777777,85.4466736842105,-2.48221044189464,0.0233816430683812,0.643713090996158,-3.88295031018129,"","Not Significant"
"ILMN_1759973",19.101248888889,92.6242,2.4820879717549,0.0233875502885299,0.643713090996158,-3.88302305752426,"NDUFA5","Not Significant"
"ILMN_1734676",-7.32898555555555,58.8018947368421,-2.4813239962906,0.0234244316116692,0.643713090996158,-3.88347684952793,"SLC5A12","Not Significant"
"ILMN_1708764",-596.43590111111,3612.10217894737,-2.48116709614444,0.0234320128298678,0.643713090996158,-3.88357004415952,"MBD4","Not Significant"
"ILMN_1915727",-5.8062111111111,53.8728105263158,-2.48112751500946,0.0234339257057821,0.643713090996158,-3.88359355421639,"","Not Significant"
"ILMN_1671474",-10.4224966666666,67.6711421052632,-2.48025733530796,0.0234760169166067,0.643713090996158,-3.88411040430128,"POTEA","Not Significant"
"ILMN_1736300",6.09174777777779,58.9421052631579,2.48022593117685,0.0234775372876553,0.643713090996158,-3.88412905661476,"","Not Significant"
"ILMN_1731215",5.43271444444444,51.0649789473684,2.47979252041574,0.0234985295191406,0.643713090996158,-3.88438647561087,"MYBPHL","Not Significant"
"ILMN_1763154",-9.09047333333331,71.9101736842105,-2.47946344724843,0.0235144799728157,0.643713090996158,-3.88458192086315,"","Not Significant"
"ILMN_1909538",-11.9110455555555,85.4086842105263,-2.47927505818818,0.0235236159398558,0.643713090996158,-3.88469380866124,"LINC01053","Not Significant"
"ILMN_1766196",-12.7613377777777,76.9661842105263,-2.47919484133807,0.0235275070878443,0.643713090996158,-3.88474145063429,"","Not Significant"
"ILMN_1712177",-4.18083333333331,53.6578947368421,-2.47897349564435,0.0235382472397195,0.643713090996158,-3.884872910123,"","Not Significant"
"ILMN_1892283",-5.7441922222222,56.6952631578947,-2.47860097126861,0.0235563333231624,0.643713090996158,-3.88509415290197,"","Not Significant"
"ILMN_1797534",-256.917911111111,694.700357894737,-2.47858365749357,0.023557174226382,0.643713090996158,-3.88510443547826,"RIOK1","Not Significant"
"ILMN_1855151",7.0286144444445,66.7011263157895,2.47842577493538,0.0235648436422921,0.643713090996158,-3.88519820083649,"","Not Significant"
"ILMN_1895762",5.69503555555558,50.2144315789474,2.47824268901668,0.0235737402999505,0.643713090996158,-3.88530693336628,"","Not Significant"
"ILMN_1838869",-8.41047777777777,74.5549105263158,-2.47804774720572,0.0235832165465936,0.643713090996158,-3.88542270586968,"","Not Significant"
"ILMN_1723855",-6.77305111111104,61.5574473684211,-2.4772763099525,0.0236207518145217,0.643713090996158,-3.88588083771578,"","Not Significant"
