"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","threshold"
"205352_at",1.32865104494963,7.18213144339924,3.98488427008124,0.00080387305306792,0.034580508188248,-0.458289428337567,"SERPINI1","TRUE"
"208016_s_at",1.90813753611231,6.38403651676713,3.98337321833767,0.000806642230953101,0.0346327723166242,-0.461469974910155,"AGTR1","TRUE"
"209691_s_at",1.18663586804511,6.01421673802605,3.97905249257961,0.000814613247007718,0.0346845860601735,-0.470564369004892,"DOK4","TRUE"
"206239_s_at",-1.48553098481106,6.31721103783799,-3.97855196727677,0.000815541711677781,0.0346845860601735,-0.471617878656023,"SPINK1","TRUE"
"213363_at",-1.57236234584679,5.84490704569965,-3.97244433028589,0.000826956910800661,0.0350324730862569,-0.484473084464911,"CA5BP1","TRUE"
"212071_s_at",1.08858680145629,11.6190835422386,3.96953274755133,0.00083245480034068,0.0351516109682511,-0.490601178300792,"SPTBN1","TRUE"
"210869_s_at",1.67237021956729,9.0991717158099,3.96928503874305,0.000832924228839769,0.0351516109682511,-0.491122534118143,"MCAM","TRUE"
"219867_at",-1.67591928189043,6.12363014209535,-3.9670135821788,0.000837241191698611,0.0352670046779209,-0.495903265578438,"CHODL","TRUE"
"211656_x_at",1.44726650146253,8.87526002824689,3.96038038577045,0.000849976288410563,0.0356015444260387,-0.509863805920781,"HLA-DQB1","TRUE"
"201430_s_at",1.5607793730684,8.08497705472486,3.95292936539304,0.000864512714853272,0.0361424705911359,-0.525544931418079,"DPYSL3","TRUE"
"208169_s_at",1.14662323353918,6.9114864287107,3.95121916089665,0.000867884132843496,0.0362154721575873,-0.529144057976428,"PTGER3","TRUE"
"202037_s_at",1.66064832671689,10.7872591041969,3.95019613658479,0.000869907156771163,0.0362320395781903,-0.531296994275238,"SFRP1","TRUE"
"221880_s_at",-1.07168376809034,7.56121012323997,-3.9480175987506,0.000874230926716432,0.0363345689286302,-0.535881639558937,"FAM174B","TRUE"
"220276_at",2.63387779892575,5.93690360245607,3.94561621691445,0.000879021879236296,0.0363345689286302,-0.540935173049423,"RERGL","TRUE"
"214505_s_at",2.36801377876086,9.37674959813535,3.94405415936316,0.000882152393770541,0.0363345689286302,-0.54422236469078,"FHL1","TRUE"
"207009_at",-1.42630542729299,5.60804449330969,-3.93109846124303,0.000908550169301572,0.0371497505271759,-0.571484870018845,"PHOX2B","TRUE"
"213036_x_at",1.48254635950562,5.77354464665426,3.93106828065961,0.000908612576282854,0.0371497505271759,-0.571548375460609,"ATP2A3","TRUE"
"213537_at",1.29652367546942,7.05978697500171,3.92883252727599,0.000913247569378669,0.0372027341653837,-0.576252764688146,"HLA-DPA1","TRUE"
"205366_s_at",-1.71139035829396,7.75371658511079,-3.91997039500513,0.000931853492306902,0.0374534362605683,-0.594899272719705,"HOXB6","TRUE"
"209785_s_at",1.04920398476922,7.65463782090391,3.9190725840398,0.000933759436891437,0.0374534362605683,-0.596788246410546,"PLA2G4C","TRUE"
"205113_at",2.12451475323948,6.1751033697163,3.9187621602771,0.000934419334955679,0.0374534362605683,-0.597441367388802,"NEFM","TRUE"
"203104_at",1.29111381807493,9.01498561979764,3.91783861266785,0.00093638536680796,0.0374604580405418,-0.599384469260436,"CSF1R","TRUE"
"207907_at",2.25088586203299,4.73810461462752,3.91528932745558,0.000941833715964889,0.0375233104027246,-0.604747964530714,"TNFSF14","TRUE"
"213502_x_at",1.73512264032553,8.65959627424762,3.91474167245509,0.000943008294463304,0.0375233104027246,-0.605900171227527,"GUSBP11","TRUE"
"201300_s_at",1.03914138981022,10.8200203718592,3.91359364363486,0.000945475271235297,0.0375544126005992,-0.60831548038861,"PRNP","TRUE"
"207677_s_at",2.0542700281222,5.41888676390309,3.91044989414962,0.000952263865128621,0.0376156966110304,-0.614929403637975,"NCF4","TRUE"
"215268_at",1.20443967627162,6.42494679972544,3.90975520747288,0.000953770523952437,0.0376156966110304,-0.616390881655271,NA,"TRUE"
"218858_at",-1.23432578286347,9.09887984721806,-3.90672807101114,0.000960363720324994,0.0376278333668499,-0.622759240324904,"DEPTOR","TRUE"
"213566_at",2.29083275033897,6.63003173891141,3.90651349594776,0.000960832795662056,0.0376278333668499,-0.623210646920376,"RNASE6","TRUE"
"207333_at",-1.35362856885757,5.62894735931083,-3.90419174141488,0.000965922963300276,0.0376996826101451,-0.628094915128404,"NMBR","TRUE"
"210397_at",-2.38221684085548,8.15987992938474,-3.90413340977978,0.00096605119465031,0.0376996826101451,-0.628217625763947,"DEFB1","TRUE"
"207977_s_at",3.36837388612954,7.34779822247743,3.90200344568838,0.000970745192051592,0.0378166348155343,-0.632698322496397,"DPT","TRUE"
"210480_s_at",-1.94069917021348,5.0690882468807,-3.90107399313988,0.000972800644493548,0.0378305702639612,-0.634653534014444,"MYO6","TRUE"
"210640_s_at",1.51566378604057,6.14984706874366,3.89829613576734,0.000978969725293533,0.0380041505029892,-0.640496968459316,"GPER1","TRUE"
"203881_s_at",1.92202530343999,7.66211504553751,3.89594657551138,0.000984218129627451,0.038045303804297,-0.645439314861742,"DMD","TRUE"
"210029_at",-2.23462081722431,9.19136734375257,-3.89510310505995,0.000986109104686546,0.038045303804297,-0.647213541574878,"IDO1","TRUE"
"217335_at",-1.35311403205193,5.85180646675769,-3.89412880186435,0.000988297909662917,0.038045303804297,-0.649262952938286,"LINC01949","TRUE"
"214348_at",1.32569508927586,5.7761022155928,3.89048653831162,0.000996523430635632,0.038219503622812,-0.656924130075075,"TACR2","TRUE"
"205312_at",1.62997634375555,6.14997144386513,3.88933655342971,0.000999134675360737,0.0382538109468442,-0.659342957160209,"SPI1","TRUE"
"208470_s_at",2.67019184126005,5.94769988350134,3.88791914485632,0.00100236255440755,0.0383115691249802,-0.662324228657742,NA,"TRUE"
"204539_s_at",1.42904154648096,3.92205973381446,3.88602662091628,0.00100668865582808,0.038385542722361,-0.666304748147197,"CELSR1","TRUE"
"219508_at",-2.54277235046573,6.71061075906023,-3.88556650918294,0.00100774323442002,0.038385542722361,-0.667272481868298,"GCNT3","TRUE"
"208790_s_at",1.32485118157783,8.81500271901947,3.87967113246721,0.00102135346812435,0.038705475051386,-0.67967152441471,"CAVIN1","TRUE"
"208607_s_at",3.02015555268197,5.11802300293529,3.87673269464561,0.0010282055951684,0.0388330597917586,-0.68585126760679,NA,"TRUE"
