"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2203",18.8168726012699,6.73649248549645,1.27838101519622,5.26954984892548,1.36758728095538e-07,5.26039015525954e-06
"55647",74.2071776778593,1.72460829873084,0.327281560997281,5.26949423449239,1.36800167436327e-07,5.26039015525954e-06
"102465428",7.33746234800717,6.55590913448431,1.24420803738264,5.26914224752602,1.3706272126655e-07,5.26117435024216e-06
"400208",16.6215856807544,-6.54610750642292,1.24334942901574,-5.26489766565861,1.40267467737518e-07,5.37469312886298e-06
"249",27.9426671282768,4.46539065394693,0.848446541004635,5.26301945748935,1.41708574614829e-07,5.41082687536341e-06
"168667",553.150310427637,2.36911092823749,0.450251428906208,5.2617510487257,1.42689886338754e-07,5.42921273309242e-06
"4314",3629.28680179363,-4.77813230686488,0.908775777116351,-5.25776811748487,1.4581421501161e-07,5.52872536708944e-06
"401237",22.4747356028388,3.63755085850523,0.692045221685725,5.25623289420981,1.4703607036914e-07,5.5653408795121e-06
"558",13589.9868409584,-1.04631134741228,0.199216916461648,-5.25212098448331,1.50357641384706e-07,5.68116542038978e-06
"10912",25.737039423696,3.13945830918288,0.598756326589808,5.24329876740264,1.57730820737033e-07,5.93909845984883e-06
"84206",1292.10297530823,2.99118843654223,0.570455580069407,5.24350806802222,1.57551916416116e-07,5.93909845984883e-06
"25984",64.6916528024268,5.30506859127906,1.01212834778876,5.24149788203172,1.59278305846499e-07,5.98699043740665e-06
"53832",26.2452991898582,3.77990579382441,0.721993487659451,5.23537380659493,1.64651288979213e-07,6.17826235641173e-06
"2289",596.442312986142,2.90434195980535,0.554869197978938,5.23428218827817,1.65627252298829e-07,6.20416841973167e-06
"285154",5.7271067539164,6.18941172598602,1.18307899231011,5.23161324494523,1.68037040287903e-07,6.28360195747846e-06
"81706",34.9613222030018,6.07313627645904,1.16106786825554,5.23064709867795,1.68917702406158e-07,6.30568041662574e-06
"4803",266.270988284009,3.69134036756465,0.705764725159183,5.23027042295445,1.69262257707614e-07,6.30770465000963e-06
"7433",16.9623200553085,7.17859738967996,1.3732785072014,5.22734270727733,1.71963581784265e-07,6.39739859220024e-06
"4038",372.233815250665,2.195961323908,0.420129533386463,5.22686730972567,1.72406133563618e-07,6.40289856034728e-06
"10349",30.3178913103599,2.84221607740651,0.543882002232421,5.22579542205908,1.73408007277373e-07,6.42911666571366e-06
"80320",27.8197936017399,5.72294751763403,1.09595069633471,5.22190235087565,1.77094352695253e-07,6.55460290742261e-06
"28626",30.3083350176517,-5.08464948638958,0.973899509049163,-5.22091800965566,1.78038357008783e-07,6.57833561968168e-06
"6581",385.826337168176,8.28568006160314,1.58716177131388,5.22043827627232,1.78500192994633e-07,6.57858255848254e-06
"105375355",58.7952727186284,7.44895839937002,1.42692636615547,5.2202822626647,1.78650635621131e-07,6.57858255848254e-06
"8673",111.143167912207,5.41038778364421,1.03806854305646,5.2119754710166,1.868402583199e-07,6.86851345559753e-06
"8418",114.969475534613,3.04823400947805,0.585501322495551,5.20619491769161,1.92752178721962e-07,7.07387472113743e-06
"1893",2476.48147538561,-2.24357474973897,0.431411969379305,-5.20053894880783,1.98711470631822e-07,7.2802789392023e-06
"10008",23.1704822588777,3.56017948033158,0.685855424929542,5.19085998437253,2.0932499546844e-07,7.65622028880021e-06
"3860",30.7291256343362,4.74371909311379,0.914008226614504,5.19001793964654,2.10273820864229e-07,7.677998373271e-06
"4645",271.760568422254,4.84069315865156,0.93306658816502,5.18793966052447,2.12633471525834e-07,7.75113221874206e-06
"158471",4923.8309541318,3.94780598295754,0.761316040432985,5.18550217425117,2.15433573882563e-07,7.84004996008805e-06
"339855",10.9117942027344,6.53896486525779,1.26118608286097,5.18477404256182,2.16276916329238e-07,7.85757907051676e-06
"10512",3399.67831131461,2.66208498372667,0.513657189128193,5.18261019230531,2.18802018257119e-07,7.9360478274694e-06
"284561",17.456488419473,4.4185830287063,0.852841081486582,5.18101569521522,2.20680920389792e-07,7.99085612731438e-06
"283537",242.992833187272,1.55602827578247,0.300453108880824,5.17893884199971,2.23151605456856e-07,8.06687484218909e-06
"64167",737.475797215092,-3.08705975453196,0.596282200192138,-5.17717911676254,2.25265924553243e-07,8.12977986186671e-06
"4168",14.6468555799795,6.9607051754741,1.34561167837786,5.17289295814172,2.30497073043791e-07,8.30477513921958e-06
"101928231",7.97368675568125,6.07257685301642,1.17420321236375,5.17165750278599,2.32026579222812e-07,8.31849745906735e-06
"66004",271.383888336228,2.10859333750269,0.407672585980348,5.17227159739492,2.31265102230147e-07,8.31849745906735e-06
"56521",24.0857765016818,3.40412252620532,0.658220823625071,5.17170287542338,2.31970234395476e-07,8.31849745906735e-06
"105369301",73.9595378329469,3.84324064498225,0.743776511397992,5.16719819204635,2.37629245441083e-07,8.49133714877133e-06
"101927262",4.74046870985854,5.92262476211679,1.14646152914687,5.16600392733984,2.39151767432657e-07,8.53170985097194e-06
"109729127",1211.48003833582,3.67184485961119,0.712177731852604,5.15579846909778,2.52552408659498e-07,8.99500595169877e-06
"3603",237.495575539288,3.25955811786912,0.632953614071959,5.14975828465456,2.60822372151928e-07,9.27434837540553e-06
"8809",23.8284185872356,5.29482941898514,1.02870850928652,5.14706485966319,2.64593860352284e-07,9.39308204250607e-06
"387914",11.6433909059112,7.22217191497636,1.40391391927402,5.14431249368269,2.68502276314248e-07,9.51628132985864e-06
