"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"205212_s_at",1.0894319492823,5.67519487040467,5.71391315827291,5.95607364765785e-08,2.46117809093311e-05,7.95092790435556,"ACAP1"
"205899_at",-1.47914618724618,3.94309263643892,-5.7111192288471,6.03659418640367e-08,2.46117809093311e-05,7.93808950460128,"CCNA1"
"204256_at",-1.017551124745,6.3230383150494,-5.65624691910832,7.85220441787967e-08,2.75204664453571e-05,7.68674747160243,"ELOVL6"
"209258_s_at",-1.23447231087995,6.95944821465362,-5.59279736610851,1.06226300934056e-07,3.2813124313952e-05,7.39803837230555,"SMC3"
"217878_s_at",-1.10409763483228,7.2919753298876,-5.51079491348207,1.56509909776553e-07,4.03640533822313e-05,7.02800905603628,"CDC27"
"209598_at",-1.11035655102581,4.80987898882793,-5.46858135887809,1.90810861246222e-07,4.37071889972257e-05,6.83890613466622,"PNMA2"
"203016_s_at",-1.18260450151426,5.65728549361815,-5.44418217056506,2.1387680760566e-07,4.63488038052136e-05,6.73003903045799,"SSX2IP"
"203215_s_at",-1.10541169064224,7.07934865115155,-5.42854617901931,2.30066569879137e-07,4.78147098696159e-05,6.66044047744395,"MYO6"
"218401_s_at",-1.15973518430349,6.86601130140244,-5.29826032492377,4.20471195508847e-07,6.22048448110468e-05,6.08567974912141,"ZNF281"
"203998_s_at",-1.00320439486506,3.03239537088397,-5.26963911206102,4.79447542347468e-07,6.56987327765609e-05,5.96066770794082,"SYT1"
"220253_s_at",-1.12662250634289,4.19212748416677,-5.14552773157221,8.42753329459716e-07,8.80984704257576e-05,5.42389661214309,"LRP12"
"218318_s_at",-1.04199035400234,5.25602036089039,-5.14464823575354,8.46103046396486e-07,8.80984704257576e-05,5.42012408289793,"NLK"
"203869_at",-1.14422243189966,5.69197055960121,-5.1375042631751,8.73796288584085e-07,8.91985348311878e-05,5.38949699429496,"USP46"
"212157_at",-1.03424220782764,7.39906824550726,-5.1269945081713,9.16145761626984e-07,9.25882985525977e-05,5.34449363037389,"SDC2"
"205560_at",-1.74723210389929,7.23553759314737,-5.0628602181512,1.22128257118872e-06,0.000109285801276176,5.0712487870378,"PCSK5"
"212225_at",1.04852193627246,5.11686092645704,5.04752281671617,1.30775267141698e-06,0.000113578615812428,5.00625765777549,"EIF1"
"212938_at",1.07210469522541,4.92826740561756,4.92016652783767,2.29606027936048e-06,0.000156274775942523,4.47194893856741,"COL6A1"
"205559_s_at",-1.46107177449015,9.50582217210176,-4.9048759968475,2.45505764455475e-06,0.000162703365716401,4.40844885861015,"PCSK5"
"203176_s_at",-1.17998779063765,5.59960079829511,-4.86527464081087,2.91809222467415e-06,0.000178990802173534,4.24464369440284,"TFAM"
"209032_s_at",-1.47045325518222,6.50229142447457,-4.84806122889909,3.14478980130908e-06,0.000185878329146545,4.1737392370747,"CADM1"
"213446_s_at",-1.01301960690653,6.23987318560592,-4.81399755336455,3.64476271694028e-06,0.000206838285225131,4.03395854513493,"IQGAP1"
"205367_at",1.04598057404626,7.05891056217033,4.79450196730985,3.96469084428972e-06,0.000220070529859432,3.95427791610247,"SH2B2"
"213268_at",-1.02758557449478,3.38435504279045,-4.78181818041305,4.18725959567328e-06,0.000228253657421173,3.90256339516012,"CAMTA1"
"211909_x_at",1.34578183572338,5.98167953109857,4.76387888868272,4.5228102422127e-06,0.000239849321040717,3.82959056067027,"PTGER3"
"201914_s_at",-1.00530440201014,7.51819049405278,-4.71394364895166,5.5996385560406e-06,0.000273239848544679,3.62751700624001,"SEC63"
"212091_s_at",1.04818886909688,9.23501407116641,4.70966639572091,5.70262264073213e-06,0.000276172209897594,3.61028045365324,"COL6A1"
"219493_at",-1.32519926341119,5.37842721797183,-4.65692089630109,7.13316346740566e-06,0.000318372010269718,3.39866944559368,"SHCBP1"
"201101_s_at",-1.37481807871924,5.90174083989341,-4.65248801793904,7.26806065081249e-06,0.000320986442716618,3.3809649143014,"BCLAF1"
"219932_at",-1.20026647897638,3.57701024343463,-4.63747999695036,7.74331166092518e-06,0.000333096431991412,3.32111651732234,"SLC27A6"
"219239_s_at",-1.04907771919354,5.21159527763734,-4.6222483797975,8.25627231838651e-06,0.000347347453175652,3.26052255789395,"ZNF654"
"200906_s_at",-1.34086164770631,8.29818066605383,-4.60861703328847,8.74304060993799e-06,0.000359259279518152,3.20641987888819,"PALLD"
"208370_s_at",-1.06022674240347,8.69414024411546,-4.60262888359939,8.96552782503296e-06,0.000365813607338565,3.1826904197524,"RCAN1"
"204324_s_at",-1.10059965769629,4.08118434899014,-4.56499933009875,1.04939088743621e-05,0.000405893493661112,3.03409946075244,"GOLIM4"
"213067_at",-1.34300439282085,4.92367125882569,-4.49081057080749,1.427595920624e-05,0.000493472560326825,2.74381741698386,"MYH10"
"203967_at",-1.15884080441426,3.73582273317522,-4.48697901311994,1.45033541105777e-05,0.000496227087606907,2.7289225169502,"CDC6"
"210042_s_at",-1.20941562914993,7.59311100007026,-4.39802116893199,2.08779956617894e-05,0.000625481870031964,2.38581203479339,"CTSZ"
"201473_at",1.34757279136669,9.48503132829366,4.36743297620954,2.3636996431477e-05,0.00067865306753873,2.26904138432429,"JUNB"
"205425_at",-1.21690004690664,6.21675699694951,-4.34357245450236,2.6029198391815e-05,0.000719721995826483,2.17838657347669,"HIP1"
"210469_at",1.06891179125764,5.92431616166098,4.30290783147681,3.06515087050775e-05,0.000794620490735793,2.02476614059253,"DLG5"
"213432_at",1.90516539456359,4.93239934625999,4.30121692656489,3.08598505234299e-05,0.000796629994036133,2.01840243294317,"MUC5B"
"219038_at",-1.04490854212807,6.68649295653976,-4.26033278862069,3.63315350881721e-05,0.000887590116597771,1.8651237464089,"MORC4"
"202902_s_at",-1.00976914625907,5.10020101004099,-4.25759988085641,3.67287116719171e-05,0.000894097199760494,1.85491820899841,"CTSS"
"203699_s_at",-1.84705573125024,6.54771347184688,-4.23521668638054,4.01421438632548e-05,0.000948057670253664,1.77152360904192,"DIO2"
"206208_at",1.03440355304686,4.96859675700183,4.17239778503854,5.14235214537563e-05,0.00111925996635515,1.53930541607596,"CA4"
"209031_at",-1.16449147271915,8.75013195283959,-4.14851063279886,5.64635556832688e-05,0.00118056656025752,1.45171625341732,"CADM1"
"209642_at",-1.11277488065913,4.27095056874583,-4.14661589940335,5.68829565365921e-05,0.0011870214810487,1.44478556118892,"BUB1"
"209367_at",1.04312095901922,7.80690035644681,4.1363674904737,5.92036133132814e-05,0.0012201121590289,1.40734132619619,"STXBP2"
"209255_at",-1.05332259497821,6.29461259335555,-4.10794924374031,6.6121983520982e-05,0.00130732751850358,1.30389234818608,"KLHDC10"
"214313_s_at",-1.21289963129518,4.06395414412993,-4.09075025870767,7.06776010737884e-05,0.00136990990289234,1.2415574822439,"EIF5B"
"40837_at",1.00512225781277,7.93723022854182,4.07706238413924,7.4516020648906e-05,0.00141907468790628,1.19209587367347,"TLE2"
"203358_s_at",-1.16191529827257,6.03476250873904,-4.06092054205426,7.92986261075365e-05,0.00147471169470393,1.13393556589997,"EZH2"
