"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_24_P348660",-1.37469806515162,-0.297898026729608,-3.28227026916476,0.00225965645708431,0.0370877120839371,-1.5875610443344,"ATRX"
"A_24_P110564",-1.10780654052182,0.0219233444410528,-3.27971425506571,0.00223570785242343,0.0368803499562993,-1.58843058383625,"NPIPA1"
"A_23_P137689",1.12185774544247,-0.132635815408998,3.28018876997576,0.00231497356517696,0.0375090201872306,-1.58909776135855,"OLFML2B"
"A_23_P162970",1.38427790803444,0.0889399857238081,3.28446630793524,0.00254864471949148,0.039618415701025,-1.59084700056662,"IPO4"
"A_23_P1691",1.8584843278403,0.363025266630802,3.28763201755347,0.00252759089713084,0.0394410429181866,-1.59311842460518,"MMP1"
"A_23_P95599",-1.3596113647281,0.0342159698787607,-3.2768828448798,0.00229319962432064,0.0373753532580741,-1.59982407335496,"ERVK13-1"
"A_23_P86171",1.10297418979734,0.0599612157134434,3.27553759892803,0.00234441605916244,0.0377756865563471,-1.60053557517841,"FOXD2"
"A_23_P336198",-1.43637740937388,-0.172074282674412,-3.27511670414419,0.00234709792917839,0.0378028338516862,-1.60157019569562,"GLCCI1"
"A_24_P637257",-1.37333848943701,-0.071144836182625,-3.2743176575933,0.00235219737130979,0.0378207002272431,-1.60353417955532,"LINC01420"
"A_23_P17192",-2.10932100011726,-0.353388800374043,-3.27423894896238,0.00239850189229837,0.0382412306150223,-1.60409481789006,"RAPGEF4"
"A_23_P139950",1.32563555565761,0.806709018200636,3.30655692279603,0.00277806110133862,0.0416973113999019,-1.60416523253924,"KPNA3"
"A_24_P201936",-1.75869722665492,-0.436124015690723,-3.27257342970201,0.00224217336698243,0.036896105698839,-1.6050995874492,"GTF2A1"
"A_23_P150693",1.38536250070652,0.434373462494519,3.27831802262596,0.00265556493375761,0.0405454500514743,-1.6061126163449,"FJX1"
"A_23_P356125",-1.20368520631626,-0.244784132703026,-3.27226445438028,0.00224408977532106,0.036896105698839,-1.60689823551643,"KIAA1468"
"A_32_P84388",1.22244709192042,0.298389415579931,3.27537840541164,0.00239113940125953,0.0382412306150223,-1.60734511348826,"GMCL1"
"A_24_P316257",1.43820409199406,-0.151384945152601,3.2738189380471,0.00231248727569534,0.0375035266448806,-1.60742031186031,"NHLRC4"
"A_24_P45481",1.07469998977685,0.634516008615783,3.2858258805074,0.00260430120460238,0.0400848825687977,-1.60869055669925,"AKT3"
"A_24_P52921",-1.28282302569007,0.00318012910195811,-3.27129206560859,0.0023716023537238,0.0380198442448559,-1.61096856876126,"BCAT1"
"A_23_P126474",1.40507489847088,-0.148502242150171,3.27101203599407,0.00233029266864065,0.0376120545929508,-1.61104389798325,"SSR2"
"A_24_P324405",1.58006717440114,0.508577325132487,3.28681246229581,0.00259763585504174,0.0400841537680311,-1.61216295969512,"ANKRD11"
"A_23_P152262",-1.84038254517985,-0.397136690467047,-3.27463847512428,0.00239591793104313,0.0382412306150223,-1.61275517407124,"DPEP1"
"A_23_P66095",-1.06870954176296,0.180762878018153,-3.27457870472342,0.00239630433084743,0.0382412306150223,-1.61290109864629,"MC1R"
"A_23_P81825",-1.48376772349668,0.480255706708268,-3.2812838012875,0.00250966884626293,0.0393781943537944,-1.61345458663985,"GUCA1B"
"A_23_P19576",1.0242845302399,0.428008201418418,3.26920302285284,0.00259096629640977,0.0400604200484676,-1.61506437918805,"SF3B5"
"A_24_P96749",-1.11563127729305,0.530914452708213,-3.27552693185756,0.00243911123615565,0.038709277274008,-1.61605273675633,"AGO1"
"A_23_P151930",1.68702951148974,0.567289460600402,3.27563332560192,0.00249091417746885,0.0391869378110182,-1.61612287883967,"TCF12"
"A_23_P206945",1.45498210420824,-0.134421368468441,3.27141593679885,0.00241683586273228,0.0384523352495307,-1.61701051025368,"ACOX1"
"A_23_P403424",-1.20217923549927,0.233690100247667,-3.26779010770747,0.00235089179607334,0.0378207002272431,-1.6190196579212,"JMJD7-PLA2G4B"
"A_23_P68669",-2.72780278727396,-0.697980688797917,-3.27430058331221,0.00244713853790248,0.0387393780902024,-1.61902274255874,"CHODL"
